,driverId,grid,positionOrder,points,statusId,year,round,top3_driver_season_percentage,top_3,driver_avg_finish_pos_season,Constructor_Top3_Percent,round_max_last_szn,top3_driver_season_percentage_lag,driver_avg_finish_pos_season_lag,Constructor_Top3_Percent_lag,round_lag
19881,579,1,1,9.0,1,1951-01-01,1,0.0,True,0.0,0.0,7.0,50.0,4.780487804878049,83.33333333333334,7.0
19882,579,1,1,9.0,1,1951-01-01,1,0.0,True,0.0,0.0,7.0,50.0,4.780487804878049,83.33333333333334,7.0
19883,641,6,2,6.0,1,1951-01-01,1,0.0,True,0.0,0.0,7.0,0.0,6.583333333333333,83.33333333333334,7.0
19884,642,2,3,4.0,1,1951-01-01,1,0.0,True,0.0,0.0,7.0,33.33333333333333,5.962962962962963,83.33333333333334,7.0
19885,763,4,4,3.0,11,1951-01-01,1,0.0,False,0.0,0.0,7.0,0.0,7.75,83.33333333333334,7.0
19886,640,5,5,2.0,12,1951-01-01,1,0.0,False,0.0,0.0,7.0,0.0,12.142857142857142,8.333333333333332,7.0
19887,647,7,6,0.0,12,1951-01-01,1,0.0,False,0.0,0.0,7.0,16.666666666666664,8.5,16.666666666666664,7.0
19888,647,7,6,0.0,12,1951-01-01,1,0.0,False,0.0,0.0,7.0,16.666666666666664,8.5,16.666666666666664,7.0
19889,589,19,7,0.0,12,1951-01-01,1,0.0,False,0.0,0.0,7.0,16.666666666666664,13.538461538461538,8.333333333333332,7.0
19891,627,8,9,0.0,13,1951-01-01,1,0.0,False,0.0,0.0,7.0,33.33333333333333,11.068965517241379,16.666666666666664,7.0
19892,741,12,10,0.0,13,1951-01-01,1,0.0,False,0.0,0.0,7.0,0.0,11.2,16.666666666666664,7.0
19895,660,18,13,0.0,17,1951-01-01,1,0.0,False,0.0,0.0,7.0,0.0,11.31578947368421,16.666666666666664,7.0
19896,764,21,14,0.0,45,1951-01-01,1,0.0,False,0.0,0.0,7.0,0.0,11.5,16.666666666666664,7.0
19897,687,9,15,0.0,3,1951-01-01,1,0.0,False,0.0,0.0,7.0,16.666666666666664,14.777777777777779,16.666666666666664,7.0
19898,765,11,16,0.0,3,1951-01-01,1,0.0,False,0.0,0.0,7.0,0.0,16.0,16.666666666666664,7.0
19937,642,2,1,8.0,1,1951-01-01,3,50.0,True,6.4,50.0,7.0,33.33333333333333,5.962962962962963,83.33333333333334,7.0
